Paremeter1,Paremeter2,Paremeter3,Paremeter4,Paremeter5,Paremeter6,Paremeter7,Paremeter8,Paremeter9,Paremeter10,Paremeter11,Paremeter12,Paremeter13,Paremeter14,Paremeter15,Paremeter16,Paremeter17,Paremeter18,Paremeter19,Paremeter20,Paremeter21,Paremeter22,Paremeter23,Paremeter24,Paremeter25,Paremeter26,Paremeter27,Paremeter28,Paremeter29,Paremeter30,Paremeter31,Paremeter32,Paremeter33,Paremeter34,Paremeter35,Paremeter36,Paremeter37,Paremeter38,Paremeter39,Paremeter40,Paremeter41,Paremeter42,Paremeter43,Paremeter44,Paremeter45,Paremeter46,Paremeter47,Paremeter48,Paremeter49,Paremeter50,Paremeter51,Paremeter52,Paremeter53,Paremeter54,Paremeter55,Paremeter56,Paremeter57,Paremeter58,Paremeter59,Paremeter60,Paremeter61,Paremeter62,Paremeter63,Paremeter64,Paremeter65,Paremeter66,Paremeter67,Paremeter68,Paremeter69,Paremeter70,Paremeter71,Paremeter72,Paremeter73
737,userID,ID93,Web,complete,insertValue,2019-02-21T23:39:57.864+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:40:02.451+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:40:13.069+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:40:17.559+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:40:25.492+11:00,confirm,Web,complete,clickButton,2019-02-21T23:40:32.367+11:00,Web,complete,waitResponse,2019-02-21T23:40:36.305+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T23:40:46.660+11:00,B2,Web,complete,clickButton,2019-02-21T23:40:49.707+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T23:40:53.453+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T23:40:58.319+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T23:40:59.397+11:00,copy,B,Melbourne 123,Excel
738,userID,ID1252,Web,complete,insertValue,2019-02-21T23:41:19.673+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:41:26.315+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:41:29.963+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:41:32.713+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:41:38.769+11:00,confirm,Web,complete,clickButton,2019-02-21T23:41:49.770+11:00,Web,complete,waitResponse,2019-02-21T23:41:52.176+11:00,www.webpage.com/wrong,ID1252,userID,Web,complete,copy,2019-02-21T23:42:03.923+11:00,ID1252,newID,Web,complete,paste,2019-02-21T23:42:06.291+11:00,B3,Web,complete,clickButton,2019-02-21T23:42:07.656+11:00,paste,A,ID1252,Excel,42,complete,2019-02-21T23:42:11.653+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T23:42:13.454+11:00,Area,Melbourne 123
739,userID,ID1476,Web,complete,insertValue,2019-02-21T23:42:28.361+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:42:33.374+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:42:39.190+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:42:51.452+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:42:51.477+11:00,confirm,Web,complete,clickButton,2019-02-21T23:43:00.772+11:00,Web,complete,waitResponse,2019-02-21T23:43:03.500+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T23:43:15.162+11:00,B2,Web,complete,clickButton,2019-02-21T23:43:18.789+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T23:43:21.632+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T23:43:23.860+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T23:43:26.699+11:00,copy,B,Melbourne 123,Excel
740,userID,ID665,Web,complete,insertValue,2019-02-21T23:43:45.447+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:43:55.777+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:44:05.983+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:44:13.418+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:44:20.621+11:00,confirm,Web,complete,clickButton,2019-02-21T23:44:22.197+11:00,Web,complete,waitResponse,2019-02-21T23:44:25.801+11:00,www.webpage.com/wrong,ID665,userID,Web,complete,copy,2019-02-21T23:44:27.940+11:00,ID665,newID,Web,complete,paste,2019-02-21T23:44:29.763+11:00,B3,Web,complete,clickButton,2019-02-21T23:44:31.686+11:00,paste,A,ID665,Excel,85,complete,2019-02-21T23:44:34.974+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T23:44:38.268+11:00,Area,Melbourne 123
741,userID,ID927,Web,complete,insertValue,2019-02-21T23:44:54.135+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:44:58.277+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:45:00.798+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:45:05.142+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:45:08.738+11:00,confirm,Web,complete,clickButton,2019-02-21T23:45:19.087+11:00,Web,complete,waitResponse,2019-02-21T23:45:23.486+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T23:45:23.486+11:00,B2,Web,complete,clickButton,2019-02-21T23:45:26.209+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T23:45:28.038+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T23:45:28.744+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T23:45:30.531+11:00,copy,B,Melbourne 123,Excel
742,userID,ID79,Web,complete,insertValue,2019-02-21T23:45:49.236+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:45:55.514+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:46:06.162+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:46:12.160+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:46:14.303+11:00,confirm,Web,complete,clickButton,2019-02-21T23:46:14.710+11:00,Web,complete,waitResponse,2019-02-21T23:46:18.297+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T23:46:29.099+11:00,B2,Web,complete,clickButton,2019-02-21T23:46:31.336+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T23:46:34.737+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T23:46:37.433+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T23:46:41.295+11:00,copy,B,Melbourne 123,Excel
743,userID,ID1529,Web,complete,insertValue,2019-02-21T23:47:00.506+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:47:05.542+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:47:10.780+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:47:21.789+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:47:28.911+11:00,confirm,Web,complete,clickButton,2019-02-21T23:47:39.979+11:00,Web,complete,waitResponse,2019-02-21T23:47:42.402+11:00,www.webpage.com/wrong,ID1529,userID,Web,complete,copy,2019-02-21T23:47:46.334+11:00,ID1529,newID,Web,complete,paste,2019-02-21T23:47:50.995+11:00,B3,Web,complete,clickButton,2019-02-21T23:47:54.854+11:00,paste,A,ID1529,Excel,39,complete,2019-02-21T23:47:58.823+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T23:48:01.598+11:00,Area,Melbourne 123
744,userID,ID1710,Web,complete,insertValue,2019-02-21T23:48:14.808+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:48:19.992+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:48:19.992+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:48:19.992+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:48:34.182+11:00,confirm,Web,complete,clickButton,2019-02-21T23:48:41.119+11:00,Web,complete,waitResponse,2019-02-21T23:48:44.021+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T23:48:56.552+11:00,B2,Web,complete,clickButton,2019-02-21T23:49:00.761+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T23:49:01.912+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T23:49:04.984+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T23:49:07.597+11:00,copy,B,Melbourne 123,Excel
745,userID,ID86,Web,complete,insertValue,2019-02-21T23:49:25.495+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:49:34.888+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:49:42.895+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:49:51.256+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:50:04.260+11:00,confirm,Web,complete,clickButton,2019-02-21T23:50:13.742+11:00,Web,complete,waitResponse,2019-02-21T23:50:17.911+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T23:50:23.170+11:00,B2,Web,complete,clickButton,2019-02-21T23:50:28.044+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T23:50:29.357+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T23:50:32.935+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T23:50:36.035+11:00,copy,B,Melbourne 123,Excel
746,userID,ID1318,Web,complete,insertValue,2019-02-21T23:50:54.748+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:51:13.880+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:51:24.184+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:51:28.442+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:51:36.300+11:00,confirm,Web,complete,clickButton,2019-02-21T23:51:36.300+11:00,Web,complete,waitResponse,2019-02-21T23:51:38.302+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T23:51:48.477+11:00,B2,Web,complete,clickButton,2019-02-21T23:51:52.551+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T23:51:54.767+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T23:51:57.313+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T23:51:59.885+11:00,copy,B,Melbourne 123,Excel
747,userID,ID456,Web,complete,insertValue,2019-02-21T23:52:17.550+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:52:17.708+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:52:26.892+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:52:35.761+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:52:45.834+11:00,confirm,Web,complete,clickButton,2019-02-21T23:52:50.608+11:00,Web,complete,waitResponse,2019-02-21T23:52:53.405+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T23:53:04.579+11:00,B2,Web,complete,clickButton,2019-02-21T23:53:07.861+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T23:53:09.142+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T23:53:11.813+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T23:53:16.369+11:00,copy,B,Melbourne 123,Excel
748,userID,ID179,Web,complete,insertValue,2019-02-21T23:53:36.625+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:53:43.024+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:53:46.575+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:53:47.991+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:54:05.526+11:00,confirm,Web,complete,clickButton,2019-02-21T23:54:17.026+11:00,Web,complete,waitResponse,2019-02-21T23:54:19.132+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T23:54:19.132+11:00,B2,Web,complete,clickButton,2019-02-21T23:54:21.415+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T23:54:25.595+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T23:54:28.327+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T23:54:31.903+11:00,copy,B,Melbourne 123,Excel
749,userID,ID135,Web,complete,insertValue,2019-02-21T23:54:52.006+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:55:02.822+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:55:11.954+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:55:20.496+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:55:30.748+11:00,confirm,Web,complete,clickButton,2019-02-21T23:55:43.857+11:00,Web,complete,waitResponse,2019-02-21T23:55:46.395+11:00,www.webpage.com/wrong,ID135,userID,Web,complete,copy,2019-02-21T23:56:01.444+11:00,ID135,newID,Web,complete,paste,2019-02-21T23:56:04.920+11:00,B3,Web,complete,clickButton,2019-02-21T23:56:07.552+11:00,paste,A,ID135,Excel,68,complete,2019-02-21T23:56:12.494+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T23:56:15.852+11:00,Area,Melbourne 123
750,userID,ID661,Web,complete,insertValue,2019-02-21T23:56:30.662+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:56:33.803+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:56:42.949+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:56:42.949+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:56:58.625+11:00,confirm,Web,complete,clickButton,2019-02-21T23:57:08.353+11:00,Web,complete,waitResponse,2019-02-21T23:57:12.919+11:00,www.webpage.com/wrong,ID661,userID,Web,complete,copy,2019-02-21T23:57:18.351+11:00,ID661,newID,Web,complete,paste,2019-02-21T23:57:19.929+11:00,B3,Web,complete,clickButton,2019-02-21T23:57:23.445+11:00,paste,A,ID661,Excel,35,complete,2019-02-21T23:57:28.077+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T23:57:31.407+11:00,Area,Melbourne 123
751,userID,ID1685,Web,complete,insertValue,2019-02-21T23:57:48.675+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:57:49.121+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:57:55.595+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:58:02.616+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:58:12.648+11:00,confirm,Web,complete,clickButton,2019-02-21T23:58:12.648+11:00,Web,complete,waitResponse,2019-02-21T23:58:16.787+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T23:58:24.891+11:00,B2,Web,complete,clickButton,2019-02-21T23:58:28.963+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T23:58:31.200+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T23:58:35.758+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T23:58:39.254+11:00,copy,B,Melbourne 123,Excel
752,userID,ID1556,Web,complete,insertValue,2019-02-21T23:58:56.641+11:00,Excel,complete,openFile,Sheet1,2019-02-21T23:59:03.715+11:00,data.xls,Web,complete,goToUrl,2019-02-21T23:59:19.636+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T23:59:33.697+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T23:59:45.956+11:00,confirm,Web,complete,clickButton,2019-02-21T23:59:48.214+11:00,Web,complete,waitResponse,2019-02-21T23:59:51.423+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-22T00:00:02.315+11:00,B2,Web,complete,clickButton,2019-02-22T00:00:07.147+11:00,Constant,182381,Web,complete,insertValue,2019-02-22T00:00:09.961+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-22T00:00:13.936+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-22T00:00:15.566+11:00,copy,B,Melbourne 123,Excel
753,userID,ID147,Web,complete,insertValue,2019-02-22T00:00:32.072+11:00,Excel,complete,openFile,Sheet1,2019-02-22T00:00:36.967+11:00,data.xls,Web,complete,goToUrl,2019-02-22T00:00:43.514+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-22T00:00:50.557+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-22T00:00:54.420+11:00,confirm,Web,complete,clickButton,2019-02-22T00:01:01.351+11:00,Web,complete,waitResponse,2019-02-22T00:01:03.637+11:00,www.webpage.com/wrong,ID147,userID,Web,complete,copy,2019-02-22T00:01:13.353+11:00,ID147,newID,Web,complete,paste,2019-02-22T00:01:15.379+11:00,B3,Web,complete,clickButton,2019-02-22T00:01:17.795+11:00,paste,A,ID147,Excel,72,complete,2019-02-22T00:01:21.515+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-22T00:01:22.582+11:00,Area,Melbourne 123
754,userID,ID366,Web,complete,insertValue,2019-02-22T00:01:39.054+11:00,Excel,complete,openFile,Sheet1,2019-02-22T00:01:50.463+11:00,data.xls,Web,complete,goToUrl,2019-02-22T00:01:54.511+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-22T00:01:58.793+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-22T00:02:05.584+11:00,confirm,Web,complete,clickButton,2019-02-22T00:02:17.594+11:00,Web,complete,waitResponse,2019-02-22T00:02:21.794+11:00,www.webpage.com/wrong,ID366,userID,Web,complete,copy,2019-02-22T00:02:26.862+11:00,ID366,newID,Web,complete,paste,2019-02-22T00:02:29.197+11:00,B3,Web,complete,clickButton,2019-02-22T00:02:32.151+11:00,paste,A,ID366,Excel,11,complete,2019-02-22T00:02:35.956+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-22T00:02:39.074+11:00,Area,Melbourne 123
755,userID,ID714,Web,complete,insertValue,2019-02-22T00:02:56.622+11:00,Excel,complete,openFile,Sheet1,2019-02-22T00:03:09.838+11:00,data.xls,Web,complete,goToUrl,2019-02-22T00:03:15.598+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-22T00:03:19.857+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-22T00:03:24.199+11:00,confirm,Web,complete,clickButton,2019-02-22T00:03:27.533+11:00,Web,complete,waitResponse,2019-02-22T00:03:30.824+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-22T00:03:39.935+11:00,B2,Web,complete,clickButton,2019-02-22T00:03:43.183+11:00,Constant,182381,Web,complete,insertValue,2019-02-22T00:03:46.450+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-22T00:03:49.425+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-22T00:03:51.376+11:00,copy,B,Melbourne 123,Excel
756,userID,ID1653,Web,complete,insertValue,2019-02-22T00:04:12.799+11:00,Excel,complete,openFile,Sheet1,2019-02-22T00:04:28.770+11:00,data.xls,Web,complete,goToUrl,2019-02-22T00:04:43.246+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-22T00:04:51.178+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-22T00:05:00.820+11:00,confirm,Web,complete,clickButton,2019-02-22T00:05:09.980+11:00,Web,complete,waitResponse,2019-02-22T00:05:12.220+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-22T00:05:19.071+11:00,B2,Web,complete,clickButton,2019-02-22T00:05:21.110+11:00,Constant,182381,Web,complete,insertValue,2019-02-22T00:05:23.324+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-22T00:05:27.406+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-22T00:05:29.760+11:00,copy,B,Melbourne 123,Excel
757,userID,ID1429,Web,complete,insertValue,2019-02-22T00:05:50.455+11:00,Excel,complete,openFile,Sheet1,2019-02-22T00:06:01.463+11:00,data.xls,Web,complete,goToUrl,2019-02-22T00:06:02.228+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-22T00:06:09.330+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-22T00:06:18.749+11:00,confirm,Web,complete,clickButton,2019-02-22T00:06:23.820+11:00,Web,complete,waitResponse,2019-02-22T00:06:26.868+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-22T00:06:29.198+11:00,B2,Web,complete,clickButton,2019-02-22T00:06:32.678+11:00,Constant,182381,Web,complete,insertValue,2019-02-22T00:06:37.331+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-22T00:06:40.380+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-22T00:06:43.879+11:00,copy,B,Melbourne 123,Excel
758,userID,ID1186,Web,complete,insertValue,2019-02-22T00:07:03.684+11:00,Excel,complete,openFile,Sheet1,2019-02-22T00:07:10.916+11:00,data.xls,Web,complete,goToUrl,2019-02-22T00:07:19.436+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-22T00:07:35.999+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-22T00:07:52.411+11:00,confirm,Web,complete,clickButton,2019-02-22T00:08:07.681+11:00,Web,complete,waitResponse,2019-02-22T00:08:12.143+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-22T00:08:16.392+11:00,B2,Web,complete,clickButton,2019-02-22T00:08:20.736+11:00,Constant,182381,Web,complete,insertValue,2019-02-22T00:08:22.667+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-22T00:08:24.447+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-22T00:08:28.111+11:00,copy,B,Melbourne 123,Excel
759,userID,ID1158,Web,complete,insertValue,2019-02-22T00:08:46.993+11:00,Excel,complete,openFile,Sheet1,2019-02-22T00:08:51.965+11:00,data.xls,Web,complete,goToUrl,2019-02-22T00:08:59.359+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-22T00:09:06.427+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-22T00:09:16.458+11:00,confirm,Web,complete,clickButton,2019-02-22T00:09:28.291+11:00,Web,complete,waitResponse,2019-02-22T00:09:32.385+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-22T00:09:44.899+11:00,B2,Web,complete,clickButton,2019-02-22T00:09:48.268+11:00,Constant,182381,Web,complete,insertValue,2019-02-22T00:09:50.143+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-22T00:09:51.865+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-22T00:09:56.127+11:00,copy,B,Melbourne 123,Excel
760,userID,ID143,Web,complete,insertValue,2019-02-22T00:10:16.912+11:00,Excel,complete,openFile,Sheet1,2019-02-22T00:10:27.068+11:00,data.xls,Web,complete,goToUrl,2019-02-22T00:10:31.420+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-22T00:10:35.407+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-22T00:10:42.644+11:00,confirm,Web,complete,clickButton,2019-02-22T00:11:01.766+11:00,Web,complete,waitResponse,2019-02-22T00:11:03.467+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-22T00:11:11.402+11:00,B2,Web,complete,clickButton,2019-02-22T00:11:13.205+11:00,Constant,182381,Web,complete,insertValue,2019-02-22T00:11:16.282+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-22T00:11:19.707+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-22T00:11:23.779+11:00,copy,B,Melbourne 123,Excel
761,userID,ID1163,Web,complete,insertValue,2019-02-22T00:11:42.207+11:00,Excel,complete,openFile,Sheet1,2019-02-22T00:11:54.746+11:00,data.xls,Web,complete,goToUrl,2019-02-22T00:12:05.747+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-22T00:12:10.598+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-22T00:12:14.312+11:00,confirm,Web,complete,clickButton,2019-02-22T00:12:18.153+11:00,Web,complete,waitResponse,2019-02-22T00:12:22.303+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-22T00:12:29.610+11:00,B2,Web,complete,clickButton,2019-02-22T00:12:33.238+11:00,Constant,182381,Web,complete,insertValue,2019-02-22T00:12:35.845+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-22T00:12:39.326+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-22T00:12:41.624+11:00,copy,B,Melbourne 123,Excel
762,userID,ID1988,Web,complete,insertValue,2019-02-22T00:13:03.277+11:00,Excel,complete,openFile,Sheet1,2019-02-22T00:13:08.868+11:00,data.xls,Web,complete,goToUrl,2019-02-22T00:13:21.397+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-22T00:13:32.974+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-22T00:13:37.978+11:00,confirm,Web,complete,clickButton,2019-02-22T00:13:50.186+11:00,Web,complete,waitResponse,2019-02-22T00:13:52.483+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-22T00:13:58.546+11:00,B2,Web,complete,clickButton,2019-02-22T00:14:00.633+11:00,Constant,182381,Web,complete,insertValue,2019-02-22T00:14:04.972+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-22T00:14:07.490+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-22T00:14:10.415+11:00,copy,B,Melbourne 123,Excel
763,userID,ID84,Web,complete,insertValue,2019-02-22T00:14:29.792+11:00,Excel,complete,openFile,Sheet1,2019-02-22T00:14:48.361+11:00,data.xls,Web,complete,goToUrl,2019-02-22T00:14:58.637+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-22T00:14:59.760+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-22T00:15:13.329+11:00,confirm,Web,complete,clickButton,2019-02-22T00:15:13.329+11:00,Web,complete,waitResponse,2019-02-22T00:15:14.796+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-22T00:15:30.853+11:00,B2,Web,complete,clickButton,2019-02-22T00:15:33.821+11:00,Constant,182381,Web,complete,insertValue,2019-02-22T00:15:37.617+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-22T00:15:40.540+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-22T00:15:45.518+11:00,copy,B,Melbourne 123,Excel
764,userID,ID1812,Web,complete,insertValue,2019-02-22T00:16:04.717+11:00,Excel,complete,openFile,Sheet1,2019-02-22T00:16:08.469+11:00,data.xls,Web,complete,goToUrl,2019-02-22T00:16:16.620+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-22T00:16:35.286+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-22T00:16:54.178+11:00,confirm,Web,complete,clickButton,2019-02-22T00:17:02.236+11:00,Web,complete,waitResponse,2019-02-22T00:17:05.652+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-22T00:17:08.858+11:00,B2,Web,complete,clickButton,2019-02-22T00:17:12.796+11:00,Constant,182381,Web,complete,insertValue,2019-02-22T00:17:15.334+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-22T00:17:18.820+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-22T00:17:21.933+11:00,copy,B,Melbourne 123,Excel
