Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66,Parameter67
90,Excel,complete,openFile,Sheet1,2019-02-19T05:28:39.174+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:28:46.815+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:28:51.257+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:28:53.678+11:00,confirm,Web,complete,clickButton,2019-02-19T05:28:57.957+11:00,Web,complete,waitResponse,2019-02-19T05:29:01.541+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:29:18.689+11:00,B2,Web,complete,clickButton,2019-02-19T05:29:22.492+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:29:26.831+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:29:29.380+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:29:30.848+11:00,copy,B,Melbourne 123,Excel
91,Excel,complete,openFile,Sheet1,2019-02-19T05:29:53.106+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:29:53.106+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:30:03.017+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:30:07.761+11:00,confirm,Web,complete,clickButton,2019-02-19T05:30:12.930+11:00,Web,complete,waitResponse,2019-02-19T05:30:15.976+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:30:25.010+11:00,B2,Web,complete,clickButton,2019-02-19T05:30:26.906+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:30:29+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:30:32.076+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:30:33.388+11:00,copy,B,Melbourne 123,Excel
92,Excel,complete,openFile,Sheet1,2019-02-19T05:30:50.086+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:31:04.858+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:31:14.099+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:31:15.299+11:00,confirm,Web,complete,clickButton,2019-02-19T05:31:20.442+11:00,Web,complete,waitResponse,2019-02-19T05:31:23.210+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:31:32.435+11:00,B2,Web,complete,clickButton,2019-02-19T05:31:34.668+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:31:37.454+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:31:40.885+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:31:43.204+11:00,copy,B,Melbourne 123,Excel
93,Excel,complete,openFile,Sheet1,2019-02-19T05:32:04.179+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:32:17.694+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:32:26.894+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:32:36.741+11:00,confirm,Web,complete,clickButton,2019-02-19T05:32:46.814+11:00,Web,complete,waitResponse,2019-02-19T05:32:49.152+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:32:54.345+11:00,B2,Web,complete,clickButton,2019-02-19T05:32:55.820+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:32:56.709+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:33:00.514+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:33:04.545+11:00,copy,B,Melbourne 123,Excel
94,Excel,complete,openFile,Sheet1,2019-02-19T05:33:25.472+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:33:34.729+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:33:38.681+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:33:42.322+11:00,confirm,Web,complete,clickButton,2019-02-19T05:33:44.547+11:00,Web,complete,waitResponse,2019-02-19T05:33:49.202+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:33:57.296+11:00,B2,Web,complete,clickButton,2019-02-19T05:33:58.818+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:34:02.412+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:34:02.412+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:34:05.694+11:00,copy,B,Melbourne 123,Excel
95,Excel,complete,openFile,Sheet1,2019-02-19T05:34:25.134+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:34:27.548+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:34:39.253+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:34:56.584+11:00,confirm,Web,complete,clickButton,2019-02-19T05:35:18.534+11:00,Web,complete,waitResponse,2019-02-19T05:35:21.765+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:35:32.694+11:00,B2,Web,complete,clickButton,2019-02-19T05:35:36.198+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:35:37.311+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:35:40.648+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:35:44.116+11:00,copy,B,Melbourne 123,Excel
96,Excel,complete,openFile,Sheet1,2019-02-19T05:36:01.190+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:36:20.656+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:36:25.430+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:36:39.024+11:00,confirm,Web,complete,clickButton,2019-02-19T05:36:39.024+11:00,Web,complete,waitResponse,2019-02-19T05:36:41.208+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:36:47.700+11:00,B2,Web,complete,clickButton,2019-02-19T05:36:49.442+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:36:52.856+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:36:55.778+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:36:58.909+11:00,copy,B,Melbourne 123,Excel
97,Excel,complete,openFile,Sheet1,2019-02-19T05:37:14.583+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:37:21.205+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:37:27.356+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:37:40.409+11:00,confirm,Web,complete,clickButton,2019-02-19T05:37:43.560+11:00,Web,complete,waitResponse,2019-02-19T05:37:45.882+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:37:52.113+11:00,B2,Web,complete,clickButton,2019-02-19T05:37:55.728+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:37:58.586+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:38:01.510+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:38:06.697+11:00,copy,B,Melbourne 123,Excel
98,Excel,complete,openFile,Sheet1,2019-02-19T05:38:25.902+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:38:39.552+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:38:47.523+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:38:57.012+11:00,confirm,Web,complete,clickButton,2019-02-19T05:39:14.332+11:00,Web,complete,waitResponse,2019-02-19T05:39:18.744+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:39:30.050+11:00,B2,Web,complete,clickButton,2019-02-19T05:39:34.067+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:39:36.526+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:39:39.389+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:39:41.941+11:00,copy,B,Melbourne 123,Excel
99,Excel,complete,openFile,Sheet1,2019-02-19T05:40:01.729+11:00,data.xls,Web,complete,goToUrl,2019-02-19T05:40:08.134+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T05:40:20.705+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T05:40:24.149+11:00,confirm,Web,complete,clickButton,2019-02-19T05:40:40.507+11:00,Web,complete,waitResponse,2019-02-19T05:40:42.946+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T05:40:49.463+11:00,B2,Web,complete,clickButton,2019-02-19T05:40:51.800+11:00,ID,182381,Web,complete,insertValue,2019-02-19T05:40:54.996+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T05:40:58.261+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T05:41:01.607+11:00,copy,B,Melbourne 123,Excel
